Group,LENGTH,WIDTH,TRILENGTH,TRIWIDTH,PTDLENGTH,HTHPD,HTMTD,HTPAD,HTMCC
4,1.12,0.7,0.82,0.65,0.4,0.44,0.84,0.8,0.46
4,1.14,0.71,0.84,0.59,0.42,0.45,0.79,0.75,0.4
4,0.93,0.5,0.7,0.46,0.34,0.3,0.59,0.56,0.28
4,0.98,0.57,0.69,0.52,0.34,0.36,0.61,0.66,0.34
4,1.08,0.66,0.83,0.59,0.38,0.37,0.69,0.69,0.35
4,1.05,0.69,0.78,0.62,0.36,0.47,0.75,0.81,0.52
4,0.89,0.53,0.65,0.53,0.26,0.33,0.61,0.63,0.39
4,1.14,0.71,0.86,0.64,0.37,0.44,0.8,0.75,0.35
4,1.05,0.49,0.83,0.46,0.37,0.32,0.65,0.59,0.3
4,1.05,0.58,0.79,0.54,0.36,0.36,0.71,0.68,0.31
4,1.16,0.71,0.88,0.57,0.47,0.43,0.79,0.8,0.4
4,0.95,0.58,0.73,0.53,0.33,0.33,0.71,0.68,0.37
4,1.11,0.61,0.81,0.54,0.36,0.33,0.67,0.7,0.42
4,0.93,0.38,0.73,0.35,0.38,0.26,0.51,0.46,0.23
4,0.91,0.5,0.64,0.45,0.3,0.37,0.63,0.62,0.37
4,1.08,0.59,0.79,0.53,0.44,0.46,0.75,0.73,0.44
4,0.91,0.5,0.75,0.46,0.43,0.3,0.57,0.59,0.29
4,1.23,0.66,0.94,0.62,0.41,0.4,0.8,0.74,0.41
4,0.99,0.52,0.83,0.48,0.4,0.33,0.65,0.69,0.32
4,1.02,0.55,0.79,0.5,0.38,0.37,0.69,0.67,0.39
4,0.82,0.56,0.67,0.5,0.34,0.33,0.65,0.66,0.33
4,0.98,0.48,0.79,0.44,0.4,0.3,0.58,0.54,0.26
4,1.19,0.77,0.87,0.7,0.37,0.48,0.87,0.89,0.52
4,0.96,0.55,0.72,0.5,0.39,0.32,0.57,0.56,0.33
4,1.02,0.58,0.77,0.53,0.32,0.31,0.69,0.65,0.34
4,1.04,0.52,0.84,0.47,0.38,0.34,0.59,0.57,0.27
4,0.9,0.53,0.69,0.48,0.33,0.33,0.6,0.61,0.34
4,0.98,0.54,0.76,0.5,0.38,0.35,0.62,0.61,0.32
4,1.11,0.57,0.85,0.5,0.37,0.37,0.72,0.69,0.31
4,0.97,0.46,0.75,0.41,0.39,0.32,0.59,0.56,0.24
4,0.95,0.58,0.81,0.54,0.39,0.34,0.71,0.67,0.26
4,0.93,0.59,0.72,0.51,0.36,0.36,0.69,0.68,0.33
4,1.06,0.57,0.82,0.53,0.37,0.38,0.77,0.71,0.3
4,0.97,0.41,0.79,0.39,0.38,0.3,0.57,0.54,0.24
4,0.96,0.61,0.8,0.52,0.41,0.31,0.63,0.66,0.37
4,0.94,0.55,0.69,0.49,0.33,0.36,0.64,0.66,0.37
4,0.81,0.45,0.64,0.4,0.33,0.3,0.54,0.58,0.32
4,1.12,0.6,0.89,0.55,0.45,0.37,0.7,0.68,0.3
4,0.79,0.46,0.57,0.42,0.31,0.35,0.57,0.59,0.38
4,1,0.59,0.7,0.52,0.35,0.4,0.72,0.74,0.48
4,0.98,0.54,0.81,0.49,0.4,0.36,0.68,0.66,0.27
4,0.62,0.36,0.45,0.33,0.23,0.31,0.47,0.47,0.25
4,0.98,0.53,0.79,0.47,0.45,0.32,0.62,0.6,0.3
4,1.43,0.78,1.05,0.71,0.51,0.52,0.91,0.93,0.57
4,0.9,0.56,0.71,0.5,0.35,0.33,0.62,0.68,0.36
4,1.13,0.59,0.89,0.55,0.4,0.35,0.76,0.71,0.32
4,1,0.42,0.75,0.39,0.41,0.27,0.51,0.48,0.23
4,0.52,0.29,0.42,0.25,0.28,0.17,0.31,0.36,0.22
4,1.04,0.51,0.83,0.48,0.44,0.32,0.64,0.6,0.26
4,0.79,0.43,0.58,0.41,0.29,0.36,0.58,0.58,0.34
4,0.97,0.52,0.72,0.47,0.36,0.36,0.65,0.69,0.41
4,1.11,0.67,0.84,0.62,0.39,0.4,0.75,0.78,0.38
4,0.97,0.58,0.72,0.51,0.37,0.37,0.66,0.67,0.34
4,1.13,0.62,0.84,0.57,0.39,0.44,0.79,0.72,0.4
5,1.19,0.61,1.01,0.56,0.49,0.4,0.73,0.69,0.35
5,1.07,0.64,0.91,0.58,0.46,0.42,0.76,0.79,0.42
5,1.17,0.62,0.95,0.6,0.51,0.37,0.74,0.74,0.36
